metric	run	ms
mascot sync (noop)	5	11.12
mascot sync (noop)	6	11.35
mascot sync (noop)	7	11.11
mascot sync (noop)	8	11.38
mascot sync (noop)	9	11.77
mascot sync (noop)	10	11.53
mascot sync (noop)	11	10.89
mascot sync (noop)	12	10.94
mascot sync (noop)	13	10.54
mascot sync (noop)	14	11.06
mascot sync (noop)	15	10.47
mascot sync (noop)	16	10.60
mascot sync (noop)	17	10.98
mascot sync (noop)	18	11.01
mascot sync (noop)	19	11.97
mascot sync (flip)	0	229.40
mascot sync (flip)	1	82.42
mascot sync (flip)	2	80.60
mascot sync (flip)	3	81.39
mascot sync (flip)	4	80.73
mascot sync (flip)	5	79.59
mascot sync (flip)	6	78.92
mascot sync (flip)	7	79.16
mascot sync (flip)	8	82.36
mascot sync (flip)	9	82.20
mascot sync (flip)	10	79.14
mascot sync (flip)	11	81.71
mascot sync (flip)	12	80.55
mascot sync (flip)	13	79.64
mascot sync (flip)	14	79.36
mascot sync (flip)	15	80.32
mascot sync (flip)	16	81.29
mascot sync (flip)	17	81.93
mascot sync (flip)	18	80.60
mascot sync (flip)	19	78.12
